year	week	cmort
1970	1	97.85
1970	2	104.64
1970	3	94.36
1970	4	98.05
1970	5	95.85
1970	6	95.98
1970	7	88.63
1970	8	90.85
1970	9	92.06
1970	10	88.75
1970	11	94.60
1970	12	92.86
1970	13	98.02
1970	14	87.64
1970	15	97.40
1970	16	83.24
1970	17	86.60
1970	18	90.69
1970	19	82.86
1970	20	99.06
1970	21	81.00
1970	22	93.18
1970	23	86.86
1970	24	89.35
1970	25	87.13
1970	26	88.39
1970	27	85.38
1970	28	83.96
1970	29	84.95
1970	30	86.81
1970	31	85.25
1970	32	94.72
1970	33	90.96
1970	34	87.73
1970	35	92.58
1970	36	87.02
1970	37	92.68
1970	38	97.95
1970	39	94.19
1970	40	93.95
1970	41	92.29
1970	42	93.48
1970	43	97.41
1970	44	96.98
1970	45	106.60
1970	46	112.41
1970	47	118.59
1970	48	107.90
1970	49	111.82
1970	50	102.78
1970	51	100.63
1970	52	106.54
1971	1	105.39
1971	2	104.99
1971	3	102.72
1971	4	104.67
1971	5	103.30
1971	6	98.46
1971	7	100.78
1971	8	94.43
1971	9	92.16
1971	10	92.13
1971	11	95.04
1971	12	86.88
1971	13	95.29
1971	14	85.39
1971	15	92.63
1971	16	88.72
1971	17	87.09
1971	18	83.92
1971	19	89.01
1971	20	78.14
1971	21	92.84
1971	22	88.65
1971	23	86.66
1971	24	82.04
1971	25	105.15
1971	26	94.19
1971	27	83.99
1971	28	88.22
1971	29	85.59
1971	30	99.21
1971	31	87.77
1971	32	90.39
1971	33	82.25
1971	34	102.92
1971	35	86.84
1971	36	97.22
1971	37	94.97
1971	38	104.86
1971	39	80.53
1971	40	102.47
1971	41	97.80
1971	42	95.28
1971	43	105.64
1971	44	106.44
1971	45	110.65
1971	46	114.41
1971	47	115.98
1971	48	112.72
1971	49	115.99
1971	50	104.14
1971	51	109.30
1971	52	111.47
1972	1	102.67
1972	2	101.34
1972	3	94.97
1972	4	90.48
1972	5	93.70
1972	6	81.87
1972	7	91.12
1972	8	90.55
1972	9	89.62
1972	10	91.63
1972	11	89.22
1972	12	84.81
1972	13	95.00
1972	14	83.77
1972	15	98.26
1972	16	82.87
1972	17	85.51
1972	18	84.67
1972	19	84.45
1972	20	93.96
1972	21	82.47
1972	22	89.18
1972	23	87.33
1972	24	92.67
1972	25	93.83
1972	26	86.65
1972	27	89.35
1972	28	77.97
1972	29	86.06
1972	30	83.34
1972	31	87.35
1972	32	90.58
1972	33	84.72
1972	34	88.32
1972	35	82.62
1972	36	92.52
1972	37	86.73
1972	38	99.54
1972	39	95.50
1972	40	92.34
1972	41	97.49
1972	42	97.90
1972	43	97.54
1972	44	103.78
1972	45	110.17
1972	46	116.04
1972	47	132.04
1972	48	126.95
1972	49	121.11
1972	50	119.30
1972	51	118.20
1972	52	102.36
1973	1	98.44
1973	2	97.87
1973	3	92.98
1973	4	96.16
1973	5	86.83
1973	6	91.09
1973	7	92.50
1973	8	90.64
1973	9	80.69
1973	10	99.91
1973	11	89.09
1973	12	94.25
1973	13	93.33
1973	14	84.08
1973	15	86.37
1973	16	86.61
1973	17	82.47
1973	18	82.73
1973	19	98.29
1973	20	87.02
1973	21	91.13
1973	22	80.23
1973	23	81.36
1973	24	82.80
1973	25	87.24
1973	26	79.37
