"Time"	"Cortex_1"	"Cortex_2"	"Cortex_3"	"Cortex_4"	"Caudate"	"Thalamus_1"	"Thalamus_2"	"Cerebellum_1"	"Cerebellum_2"
time  cort1  cort2  cort3  cort4  thal1  thal2  cere1  cere2
   1 -0.336 -0.088 -0.579 -0.221 -0.222 -0.046 -0.354 -0.028
   2 -0.192 -0.359 -0.475 -0.058  0.072 -0.039 -0.346 -0.032
   3  0.062  0.062  0.063  0.192  0.145 -0.256 -0.337  0.272
   4  0.128  0.221  0.234 -0.004 -0.104 -0.030  0.149  0.042
   5  0.358  0.199  0.388  0.255  0.035 -0.081  0.311 -0.080
   6  0.342  0.054  0.377  0.430 -0.005  0.047  0.403 -0.016
   7  0.608  0.051  0.262  0.160  0.367 -0.294  0.100 -0.078
   8  0.398 -0.113  0.119  0.114  0.312  0.052  0.017  0.000
   9  0.382  0.139  0.255  0.251  0.368  0.022  0.074  0.264
  10  0.328  0.182  0.091  0.052  0.459  0.405  0.068  0.128
  11  0.385  0.204  0.207  0.108  0.440  0.217 -0.054  0.193
  12  0.273  0.512  0.308  0.077  0.453  0.037 -0.151 -0.150
  13  0.417  0.102  0.434 -0.066  0.306 -0.106  0.101  0.355
  14  0.264  0.253  0.567  0.024 -0.024  0.078 -0.031  0.061
  15  0.404  0.334  0.312  0.140  0.149  0.166  0.010  0.044
  16  0.447  0.395  0.242  0.005  0.036 -0.044  0.101  0.279
  17  0.286  0.091  0.330  0.120  0.062 -0.250  0.038 -0.008
  18  0.250  0.327  0.248  0.194  0.087 -0.130  0.052 -0.046
  19  0.106  0.167  0.010 -0.210 -0.163 -0.214  0.021  0.058
  20 -0.112 -0.169 -0.171  0.159 -0.355  0.206 -0.088 -0.227
  21 -0.318 -0.117 -0.173 -0.232 -0.284 -0.018  0.007 -0.114
  22 -0.286 -0.127 -0.304 -0.088 -0.269 -0.016 -0.204 -0.099
  23 -0.284 -0.091 -0.035  0.030 -0.394  0.132 -0.108 -0.040
  24 -0.420 -0.361 -0.411  0.056 -0.405  0.030 -0.166 -0.114
  25 -0.317 -0.152 -0.302 -0.040 -0.033  0.131 -0.111  0.052
  26 -0.531 -0.397 -0.115 -0.090  0.102  0.304 -0.111 -0.234
  27 -0.497 -0.264 -0.240 -0.018  0.072  0.162 -0.004  0.082
  28 -0.291 -0.097 -0.267 -0.324 -0.057 -0.120 -0.026 -0.124
  29 -0.355 -0.394 -0.313  0.002 -0.233  0.117 -0.057  0.036
  30 -0.283 -0.444 -0.201 -0.462 -0.136 -0.109 -0.129 -0.177
  31 -0.304 -0.164 -0.304 -0.216 -0.231 -0.189 -0.149 -0.183
  32 -0.353 -0.198 -0.233 -0.216 -0.262 -0.032 -0.062 -0.222
  33 -0.316 -0.052 -0.196  0.018 -0.294  0.034 -0.105  0.048
  34 -0.347 -0.250 -0.184 -0.167 -0.099 -0.208 -0.056 -0.023
  35  0.165 -0.072  0.118  0.186 -0.061  0.009  0.048  0.033
  36  0.174  0.115  0.384  0.053 -0.071 -0.056  0.353  0.347
