year	week	part
1970	1	72.72
1970	2	49.60
1970	3	55.68
1970	4	55.16
1970	5	66.02
1970	6	44.01
1970	7	47.83
1970	8	43.60
1970	9	24.99
1970	10	40.41
1970	11	51.93
1970	12	32.26
1970	13	73.65
1970	14	30.15
1970	15	41.10
1970	16	41.53
1970	17	29.46
1970	18	51.13
1970	19	41.37
1970	20	59.49
1970	21	48.25
1970	22	51.73
1970	23	44.21
1970	24	59.59
1970	25	60.82
1970	26	55.01
1970	27	50.59
1970	28	55.05
1970	29	48.00
1970	30	55.37
1970	31	64.44
1970	32	75.00
1970	33	61.46
1970	34	50.04
1970	35	49.90
1970	36	51.14
1970	37	77.88
1970	38	46.71
1970	39	73.86
1970	40	76.87
1970	41	39.85
1970	42	71.52
1970	43	63.87
1970	44	48.81
1970	45	68.82
1970	46	64.39
1970	47	81.76
1970	48	73.55
1970	49	67.99
1970	50	75.37
1970	51	65.23
1970	52	69.91
1971	1	44.34
1971	2	40.80
1971	3	55.09
1971	4	38.44
1971	5	53.54
1971	6	42.46
1971	7	53.22
1971	8	44.41
1971	9	31.29
1971	10	31.10
1971	11	35.92
1971	12	37.73
1971	13	35.00
1971	14	36.25
1971	15	22.75
1971	16	32.26
1971	17	34.77
1971	18	52.73
1971	19	36.59
1971	20	30.04
1971	21	49.91
1971	22	42.60
1971	23	35.89
1971	24	41.76
1971	25	47.03
1971	26	36.62
1971	27	31.40
1971	28	46.76
1971	29	30.60
1971	30	60.58
1971	31	33.30
1971	32	50.08
1971	33	46.99
1971	34	73.07
1971	35	50.28
1971	36	71.60
1971	37	50.09
1971	38	82.85
1971	39	58.36
1971	40	62.63
1971	41	71.27
1971	42	50.85
1971	43	65.13
1971	44	74.74
1971	45	39.59
1971	46	69.67
1971	47	84.23
1971	48	84.96
1971	49	67.68
1971	50	58.62
1971	51	57.02
1971	52	64.58
1972	1	63.25
1972	2	56.92
1972	3	46.59
1972	4	49.20
1972	5	48.55
1972	6	39.16
1972	7	43.59
1972	8	43.26
1972	9	35.86
1972	10	40.40
1972	11	44.84
1972	12	28.72
1972	13	44.40
1972	14	24.24
1972	15	37.13
1972	16	38.01
1972	17	32.22
1972	18	32.86
1972	19	25.83
1972	20	37.95
1972	21	36.93
1972	22	34.03
1972	23	27.68
1972	24	52.62
1972	25	36.51
1972	26	33.53
1972	27	39.94
1972	28	36.85
1972	29	38.93
1972	30	24.55
1972	31	48.89
1972	32	48.69
1972	33	42.71
1972	34	42.34
1972	35	50.98
1972	36	56.67
1972	37	61.51
1972	38	73.11
1972	39	57.48
1972	40	56.63
1972	41	67.47
1972	42	71.64
1972	43	54.52
1972	44	74.98
1972	45	74.95
1972	46	57.30
1972	47	71.59
1972	48	69.80
1972	49	47.92
1972	50	63.78
1972	51	59.76
1972	52	40.04
1973	1	47.44
1973	2	42.77
1973	3	41.51
1973	4	31.86
1973	5	41.68
1973	6	29.07
1973	7	30.83
1973	8	44.48
1973	9	38.35
1973	10	30.98
1973	11	37.46
1973	12	39.57
1973	13	40.28
1973	14	31.64
1973	15	36.16
1973	16	26.97
1973	17	45.76
1973	18	28.17
1973	19	47.48
1973	20	37.47
1973	21	38.23
1973	22	30.47
1973	23	32.50
1973	24	42.10
1973	25	33.92
1973	26	30.54
1973	27	45.70
1973	28	37.03
1973	29	30.50
1973	30	33.47
1973	31	36.95
1973	32	41.08
1973	33	56.16
1973	34	41.31
1973	35	66.01
1973	36	56.46
1973	37	62.06
1973	38	54.20
1973	39	73.04
1973	40	45.54
1973	41	53.33
1973	42	67.77
1973	43	75.61
1973	44	71.46
1973	45	63.29
1973	46	62.04
1973	47	38.94
1973	48	63.31
1973	49	67.74
1973	50	73.76
1973	51	70.13
1973	52	65.87
1974	1	53.98
1974	2	52.55
1974	3	47.86
1974	4	46.35
1974	5	63.72
1974	6	30.78
1974	7	30.02
1974	8	38.49
1974	9	42.06
1974	10	37.61
1974	11	40.20
1974	12	29.69
1974	13	29.53
1974	14	25.86
1974	15	38.95
1974	16	25.70
1974	17	27.84
1974	18	35.82
1974	19	35.45
1974	20	42.62
1974	21	25.63
1974	22	33.96
1974	23	42.15
1974	24	37.38
1974	25	30.58
1974	26	23.68
1974	27	33.10
1974	28	36.67
1974	29	38.60
1974	30	45.79
1974	31	33.46
1974	32	50.93
1974	33	41.47
1974	34	28.15
1974	35	54.62
1974	36	59.46
1974	37	35.47
1974	38	52.77
1974	39	65.32
1974	40	66.49
1974	41	62.46
1974	42	60.38
1974	43	72.83
1974	44	53.78
1974	45	81.09
1974	46	44.05
1974	47	65.68
1974	48	45.98
1974	49	77.13
1974	50	69.77
1974	51	51.34
1974	52	43.97
1975	1	45.11
1975	2	49.49
1975	3	68.46
1975	4	32.69
1975	5	35.97
1975	6	40.71
1975	7	27.56
1975	8	38.52
1975	9	24.95
1975	10	28.94
1975	11	27.64
1975	12	34.40
1975	13	38.51
1975	14	27.59
1975	15	27.26
1975	16	30.53
1975	17	28.93
1975	18	31.07
1975	19	21.80
1975	20	39.47
1975	21	32.09
1975	22	38.39
1975	23	24.72
1975	24	36.54
1975	25	33.27
1975	26	42.32
1975	27	24.60
1975	28	34.57
1975	29	42.28
1975	30	42.04
1975	31	32.93
1975	32	55.42
1975	33	47.80
1975	34	49.69
1975	35	32.25
1975	36	62.39
1975	37	39.47
1975	38	71.81
1975	39	66.09
1975	40	66.65
1975	41	87.02
1975	42	70.08
1975	43	75.04
1975	44	57.53
1975	45	86.54
1975	46	74.91
1975	47	65.11
1975	48	77.79
1975	49	68.15
1975	50	56.86
1975	51	72.82
1975	52	28.88
1976	1	46.97
1976	2	46.06
1976	3	45.68
1976	4	34.93
1976	5	42.69
1976	6	49.61
1976	7	34.81
1976	8	32.69
1976	9	37.25
1976	10	30.87
1976	11	33.85
1976	12	37.26
1976	13	30.77
1976	14	41.64
1976	15	24.47
1976	16	27.11
1976	17	26.35
1976	18	31.02
1976	19	31.12
1976	20	51.07
1976	21	31.41
1976	22	38.80
1976	23	20.25
1976	24	39.55
1976	25	24.78
1976	26	34.29
1976	27	28.97
1976	28	23.49
1976	29	43.61
1976	30	35.53
1976	31	37.07
1976	32	26.80
1976	33	32.85
1976	34	32.26
1976	35	62.64
1976	36	46.12
1976	37	39.81
1976	38	58.60
1976	39	62.88
1976	40	55.21
1976	41	70.06
1976	42	68.84
1976	43	72.52
1976	44	76.28
1976	45	70.51
1976	46	82.92
1976	47	59.98
1976	48	49.06
1976	49	73.60
1976	50	66.53
1976	51	58.90
1976	52	73.23
1977	1	63.09
1977	2	59.88
1977	3	38.20
1977	4	50.47
1977	5	42.62
1977	6	43.78
1977	7	32.37
1977	8	38.38
1977	9	38.56
1977	10	29.40
1977	11	42.67
1977	12	26.34
1977	13	25.97
