year	week	tempr
1970	1	72.38
1970	2	67.19
1970	3	62.94
1970	4	72.49
1970	5	74.25
1970	6	67.88
1970	7	74.20
1970	8	74.88
1970	9	64.17
1970	10	67.09
1970	11	78.29
1970	12	68.07
1970	13	86.70
1970	14	69.43
1970	15	75.22
1970	16	77.29
1970	17	69.96
1970	18	79.35
1970	19	82.94
1970	20	89.79
1970	21	80.19
1970	22	87.58
1970	23	81.76
1970	24	86.79
1970	25	87.46
1970	26	88.21
1970	27	83.40
1970	28	86.10
1970	29	82.16
1970	30	81.31
1970	31	78.99
1970	32	92.56
1970	33	84.50
1970	34	76.44
1970	35	73.97
1970	36	69.63
1970	37	81.05
1970	38	69.57
1970	39	78.05
1970	40	70.61
1970	41	60.95
1970	42	67.74
1970	43	68.50
1970	44	54.84
1970	45	60.58
1970	46	62.14
1970	47	51.26
1970	48	72.55
1970	49	64.42
1970	50	78.25
1970	51	59.17
1970	52	80.89
1971	1	58.63
1971	2	62.50
1971	3	67.52
1971	4	63.56
1971	5	74.87
1971	6	64.98
1971	7	82.70
1971	8	72.63
1971	9	65.36
1971	10	63.33
1971	11	66.10
1971	12	64.85
1971	13	76.37
1971	14	75.27
1971	15	65.15
1971	16	69.62
1971	17	72.81
1971	18	85.57
1971	19	78.58
1971	20	77.32
1971	21	87.27
1971	22	86.29
1971	23	83.55
1971	24	88.57
1971	25	95.34
1971	26	88.18
1971	27	82.71
1971	28	89.80
1971	29	81.63
1971	30	98.95
1971	31	82.58
1971	32	79.74
1971	33	77.31
1971	34	99.88
1971	35	69.19
1971	36	76.29
1971	37	64.28
1971	38	78.61
1971	39	65.87
1971	40	68.18
1971	41	65.98
1971	42	63.95
1971	43	57.65
1971	44	64.27
1971	45	55.18
1971	46	63.52
1971	47	63.95
1971	48	69.91
1971	49	58.90
1971	50	65.25
1971	51	62.79
1971	52	71.43
1972	1	68.72
1972	2	66.96
1972	3	75.68
1972	4	68.57
1972	5	68.62
1972	6	69.61
1972	7	71.89
1972	8	73.66
1972	9	70.67
1972	10	69.90
1972	11	80.23
1972	12	67.16
1972	13	81.71
1972	14	66.20
1972	15	80.79
1972	16	84.12
1972	17	75.52
1972	18	81.55
1972	19	75.88
1972	20	82.45
1972	21	84.86
1972	22	84.93
1972	23	79.73
1972	24	97.20
1972	25	85.97
1972	26	82.00
1972	27	81.95
1972	28	83.56
1972	29	86.14
1972	30	77.63
1972	31	77.19
1972	32	82.16
1972	33	78.57
1972	34	78.92
1972	35	74.47
1972	36	71.01
1972	37	72.20
1972	38	72.59
1972	39	65.80
1972	40	64.16
1972	41	73.18
1972	42	74.71
1972	43	50.91
1972	44	66.46
1972	45	75.48
1972	46	67.78
1972	47	56.68
1972	48	70.08
1972	49	58.58
1972	50	67.70
1972	51	63.88
1972	52	59.07
1973	1	68.55
1973	2	68.35
1973	3	65.60
1973	4	58.75
1973	5	65.67
1973	6	59.85
1973	7	63.95
1973	8	77.14
1973	9	66.59
1973	10	72.86
1973	11	67.87
1973	12	73.61
1973	13	71.45
1973	14	69.97
1973	15	78.49
1973	16	72.52
1973	17	84.84
1973	18	72.97
1973	19	96.23
1973	20	81.68
1973	21	83.17
1973	22	79.42
1973	23	78.64
1973	24	86.44
1973	25	82.08
1973	26	80.73
1973	27	87.68
1973	28	81.44
1973	29	77.34
1973	30	75.18
1973	31	75.85
1973	32	74.24
1973	33	87.78
1973	34	69.09
1973	35	82.08
1973	36	79.84
1973	37	82.80
1973	38	73.56
1973	39	73.74
1973	40	63.94
1973	41	63.08
1973	42	64.79
1973	43	75.45
1973	44	67.12
1973	45	69.12
1973	46	61.56
1973	47	51.22
1973	48	64.28
1973	49	65.41
1973	50	65.45
1973	51	65.68
1973	52	72.25
1974	1	63.18
1974	2	71.55
1974	3	67.30
1974	4	59.64
1974	5	73.43
1974	6	61.91
1974	7	64.85
1974	8	74.43
1974	9	74.39
1974	10	70.80
1974	11	72.49
1974	12	70.06
1974	13	70.25
1974	14	66.51
1974	15	83.11
1974	16	71.29
1974	17	75.49
1974	18	80.98
1974	19	83.52
1974	20	88.27
1974	21	77.88
1974	22	82.23
1974	23	90.75
1974	24	86.58
1974	25	84.80
1974	26	80.32
1974	27	80.23
